"","ID","Timestamp","Trial","counterbalance","phase","description_stop","paired_vid","onset","offset","description_content","importance","time","tag","vidpath","Datastring","test_trial"
"1","1000",1698251806015,"8","1","practice","1","2",12,33,"One bison thinks it could be a crocodile or a log.  The other thinks it's a log.  The first bison uses a stick to poke the log to see if it's a crocodile.  It isn't and it jumps on the log.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""One bison thinks it could be a crocodile or a log.  The other thinks it's a log.  The first bison uses a stick to poke the log to see if it's a crocodile.  It isn't and it jumps on the log."", ""importance"": ""7"", ""time"": 74013, ""tag"": ""prac_segB_desc""}","description"
"6","1001",1698252131591,"8","2","practice","1","2",12,33,"Remember the two cows? When you fell asleep, they were debating if, in the river, there was a crocodile or a log. They kept going back and forth for a while. Even the cow that says crocodile throws a stone to prove that it's a crocodile. But nothing happened. The object in the water stayed still. The cow eventually jumped on the object to prove his point to his friend.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Remember the two cows? When you fell asleep, they were debating if, in the river, there was a crocodile or a log. They kept going back and forth for a while. Even the cow that says crocodile throws a stone to prove that it's a crocodile. But nothing happened. The object in the water stayed still. The cow eventually jumped on the object to prove his point to his friend."", ""importance"": ""7"", ""time"": 238407, ""tag"": ""prac_segB_desc""}","description"
"11","1004",1698331736949,"8","8","practice","1","2",12,33,"The two buffaloes(?) continued to debate whether they were looking at a log or a crocodile.  They threw things at it, poked it and eventually one jumped onto it - but it did not move at all. Strangely the buffalo that thought it was a croc was the one that jumped on it",2,2,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 8, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two buffaloes(?) continued to debate whether they were looking at a log or a crocodile.  They threw things at it, poked it and eventually one jumped onto it - but it did not move at all. Strangely the buffalo that thought it was a croc was the one that jumped on it"", ""importance"": ""2"", ""time"": 92614, ""tag"": ""prac_segB_desc""}","description"
"15","1006",1698256238028,"8","4","practice","1","2",12,33,"One of the animals, who is convinced that the feature in the water is a crocodile and not a log, throws a stone (to get some reaction from it), then pokes with a stick, that splashes some water, then jumps on the object.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""One of the animals, who is convinced that the feature in the water is a crocodile and not a log, throws a stone (to get some reaction from it), then pokes with a stick, that splashes some water, then jumps on the object."", ""importance"": ""6"", ""time"": 124750, ""tag"": ""prac_segB_desc""}","description"
"20","1007",1698332003600,"8","0","practice","1","2",12,33,"The buffalo which thinks the object in the water is a crocodile throws a stone at the object. The object does not move. The other buffalo is still adamant that it is a log. So the buffalo which thinks its a crocodile and pokes it with a stick. The object does nothing. The other buffalo is still adamant its a log. The buffalo who thinks the object is a crocodile then jumps on to the object.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The buffalo which thinks the object in the water is a crocodile throws a stone at the object. The object does not move. The other buffalo is still adamant that it is a log. So the buffalo which thinks its a crocodile and pokes it with a stick. The object does nothing. The other buffalo is still adamant its a log. The buffalo who thinks the object is a crocodile then jumps on to the object."", ""importance"": ""7"", ""time"": 134788, ""tag"": ""prac_segB_desc""}","description"
"25","1008",1701964174425,"8","5","practice","1","2",12,33,"The buffalo was trying to see if the thing in the water was a crocodile. It threw a rock at it, poked it with a stick, and then climbed on top of it. The thing had no reaction yet.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The buffalo was trying to see if the thing in the water was a crocodile. It threw a rock at it, poked it with a stick, and then climbed on top of it. The thing had no reaction yet."", ""importance"": ""5"", ""time"": 51163, ""tag"": ""prac_segB_desc""}","description"
"30","1010",1702480199045,"8","5","practice","1","2",12,33,"the wilderbeest are arguing about whether what they see in the water is a log or a crocodile. the one insisting it is a crocodile decides to test it in various ways like throwing a rock at it, poke it with a stick or sitting on it. The other one keeps saying it's just a log",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""the wilderbeest are arguing about whether what they see in the water is a log or a crocodile. the one insisting it is a crocodile decides to test it in various ways like throwing a rock at it, poke it with a stick or sitting on it. The other one keeps saying it's just a log"", ""importance"": ""5"", ""time"": 69286, ""tag"": ""prac_segB_desc""}","description"
"35","1011",1702480420513,"8","0","practice","1","2",12,33,"A buffalo throws stones at a partly submerged crocodile to check if it is safe to cross the river.  The buffalo also throws a stick at the crocodile.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""A buffalo throws stones at a partly submerged crocodile to check if it is safe to cross the river.  The buffalo also throws a stick at the crocodile."", ""importance"": ""7"", ""time"": 64147, ""tag"": ""prac_segB_desc""}","description"
"40","1016",1701965388590,"8","3","practice","1","2",12,33,"The bison were standing by the waters edge looking at something in the water. One bison says that he thinks it is a crocodile. The other says a log. They discuss for a minute, one insisting it is a crocodile and the other a log. One pokes the thing with a stick but it does not move. The other bison says again it is a log. Then the first bison jumps on the thing. It does not move.",4,4,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The bison were standing by the waters edge looking at something in the water. One bison says that he thinks it is a crocodile. The other says a log. They discuss for a minute, one insisting it is a crocodile and the other a log. One pokes the thing with a stick but it does not move. The other bison says again it is a log. Then the first bison jumps on the thing. It does not move."", ""importance"": ""4"", ""time"": 87967, ""tag"": ""prac_segB_desc""}","description"
"45","1017",1701961799787,"8","1","practice","1","2",12,33,"Two animals are drinking water from a lake. They see something in the water near them. One of them thinks its a log and the other thinks it's a croc. The one that thinks it's a croc throws a rock, pokes it with a stick and the jumps on it to be sure. The object never moves. ",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two animals are drinking water from a lake. They see something in the water near them. One of them thinks its a log and the other thinks it's a croc. The one that thinks it's a croc throws a rock, pokes it with a stick and the jumps on it to be sure. The object never moves. "", ""importance"": ""5"", ""time"": 118563, ""tag"": ""prac_segB_desc""}","description"
