"","ID","Timestamp","Trial","counterbalance","phase","description_stop","paired_vid","onset","offset","description_content","importance","time","tag","vidpath","Datastring","test_trial"
"1","1001",1701964189385,"8","6","practice","1","2",12,33,"The buffalo are still unsure if it is a crocodile or log in the water so one prods it with a stick and then, still uncertain, jumps onto the object in the water",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 6, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The buffalo are still unsure if it is a crocodile or log in the water so one prods it with a stick and then, still uncertain, jumps onto the object in the water"", ""importance"": ""5"", ""time"": 68922, ""tag"": ""prac_segB_desc""}","description"
"3","1002",1701963561982,"8","3","practice","1","2",12,33,"There are two buffalo at the edge of the water. They both notice something in the water that either looks like a log or a crocodile. The buffalo argue between eachother , one saying its a log and the other saying its a crocodile. One buffalo decides to throw a rock at the log/crocodile with no response . The same buffalo then again tries to get its attention by poking with a tick, still no response. The same buffalo once again trie to get its attention by splahsing water on it. After these failed attempts to fully identify the object the buffalo than jumps on the object.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""There are two buffalo at the edge of the water. They both notice something in the water that either looks like a log or a crocodile. The buffalo argue between eachother , one saying its a log and the other saying its a crocodile. One buffalo decides to throw a rock at the log/crocodile with no response . The same buffalo then again tries to get its attention by poking with a tick, still no response. The same buffalo once again trie to get its attention by splahsing water on it. After these failed attempts to fully identify the object the buffalo than jumps on the object."", ""importance"": ""5"", ""time"": 154598, ""tag"": ""prac_segB_desc""}","description"
"6","1003",1698252302729,"8","5","practice","1","2",12,33,"2 cow's on the river are looking at something in the water. they argue on what the item is. first one says it's a cow, the other says it's a log. they go back and fourth as the first cow splashes the water to see if it move. it didn't move. first cow hits it with a rock, pokes at it with a stick and even climbs on it.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""2 cow's on the river are looking at something in the water. they argue on what the item is. first one says it's a cow, the other says it's a log. they go back and fourth as the first cow splashes the water to see if it move. it didn't move. first cow hits it with a rock, pokes at it with a stick and even climbs on it."", ""importance"": ""7"", ""time"": 190829, ""tag"": ""prac_segB_desc""}","description"
"8","1005",1702750655607,"8","5","practice","1","2",12,33,"The two animals, which I think are moose, are staring at some floating object in a body of water. As they stand on the shore, they look at each other debating whether the object is a log or a crocodile. The seemingly main character moose begins throwing rocks and splashes the object in the water. Nothing happens. So, now he has taken the risk and has jumped on top of the floating object. So far, nothing has happened to him/her",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two animals, which I think are moose, are staring at some floating object in a body of water. As they stand on the shore, they look at each other debating whether the object is a log or a crocodile. The seemingly main character moose begins throwing rocks and splashes the object in the water. Nothing happens. So, now he has taken the risk and has jumped on top of the floating object. So far, nothing has happened to him/her"", ""importance"": ""6"", ""time"": 246360, ""tag"": ""prac_segB_desc""}","description"
"10","1006",1698331837552,"8","6","practice","1","2",12,33,"the two cows are discussing what is in the water, one thinks it is a crocodile/aligator and the other thinks it is a log, the one who does not think its a log splashes the item and gets no result and grunt to the other cow who does not do anything but grunt and look at the item in the water none the wiser as to what it is therefore the other one prods it with a stick a couple of times and grunting but nothing more happens and they just look at the item in the water ",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 6, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""the two cows are discussing what is in the water, one thinks it is a crocodile/aligator and the other thinks it is a log, the one who does not think its a log splashes the item and gets no result and grunt to the other cow who does not do anything but grunt and look at the item in the water none the wiser as to what it is therefore the other one prods it with a stick a couple of times and grunting but nothing more happens and they just look at the item in the water "", ""importance"": ""6"", ""time"": 167293, ""tag"": ""prac_segB_desc""}","description"
"12","1008",1703259190904,"8","3","practice","1","2",12,33,"the buffalo kept saying its a crocodile and then threw a stone at it. it did nothing so it try to splash water at it and still nothing happened",4,4,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""the buffalo kept saying its a crocodile and then threw a stone at it. it did nothing so it try to splash water at it and still nothing happened"", ""importance"": ""4"", ""time"": 55537, ""tag"": ""prac_segB_desc""}","description"
"15","1009",1712069995149,"8","5","practice","1","2",12,33,"Two animals are looking at an item in the water.  One thinks it's an alligator, the other thinks it's a log.  One splashes water on it and nothing happens.  Then it pokes it with a stick and nothing happens.  Finally, the animal jumps on it.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two animals are looking at an item in the water.  One thinks it's an alligator, the other thinks it's a log.  One splashes water on it and nothing happens.  Then it pokes it with a stick and nothing happens.  Finally, the animal jumps on it."", ""importance"": ""7"", ""time"": 85654, ""tag"": ""prac_segB_desc""}","description"
"17","1011",1712073537447,"8","5","practice","1","2",12,33,"Two Animals are arguing about whether this Mysterious object is a Allegator or Log. One then hits it with its foot... it doesnt respond. They argue again, The same Animal Hits it again but this time with a Stick. The other animal is still not Convinced. \nThey continue to disagree; At last the Animal then decides to leap upon the object.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two Animals are arguing about whether this Mysterious object is a Allegator or Log. One then hits it with its foot... it doesnt respond. They argue again, The same Animal Hits it again but this time with a Stick. The other animal is still not Convinced. \nThey continue to disagree; At last the Animal then decides to leap upon the object."", ""importance"": ""5"", ""time"": 116756, ""tag"": ""prac_segB_desc""}","description"
"19","1013",1698252100375,"8","1","practice","1","2",12,33,"Two cows were discussing if the object in the river was a crocodile or a log. One cow throw stones at it to see if it moved.  it then jumped on it to see if it was alive or not.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two cows were discussing if the object in the river was a crocodile or a log. One cow throw stones at it to see if it moved.  it then jumped on it to see if it was alive or not."", ""importance"": ""5"", ""time"": 83635, ""tag"": ""prac_segB_desc""}","description"
"22","1015",1698251961204,"8","4","practice","1","2",12,33,"They continued arguing as to whether it was a crocodile or a log. To prove his point the first ox picked up a stick to poke the 'object.' Nothing happened, confirming to the other that it was in fact a log. Frustrated the first ox then proceeded to step his first two legs and then his back two onto the object. He was now stuck floating on top! ",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""They continued arguing as to whether it was a crocodile or a log. To prove his point the first ox picked up a stick to poke the 'object.' Nothing happened, confirming to the other that it was in fact a log. Frustrated the first ox then proceeded to step his first two legs and then his back two onto the object. He was now stuck floating on top! "", ""importance"": ""6"", ""time"": 87813, ""tag"": ""prac_segB_desc""}","description"
