"","ID","Timestamp","Trial","counterbalance","phase","description_stop","paired_vid","onset","offset","description_content","importance","time","tag","vidpath","Datastring","test_trial"
"1","1000",1713886610163,"8","2","practice","1","2",12,33,"The two bulls/animals are debating on whether the lump in the water an alligator or a log is. The one on the left throws a rock at it, then pokes it with a stick, splashes with water, and climbs on top of it. In the mist of this the other bull/animal is still saying it is a log and the other still believes it is an alligator. ",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two bulls/animals are debating on whether the lump in the water an alligator or a log is. The one on the left throws a rock at it, then pokes it with a stick, splashes with water, and climbs on top of it. In the mist of this the other bull/animal is still saying it is a log and the other still believes it is an alligator. "", ""importance"": ""5"", ""time"": 185675, ""tag"": ""prac_segB_desc""}","description"
"7","1001",1714396390136,"8","0","practice","1","2",12,33,"The bulls kept going back on forth on whether it is an alligator or an log. So the bull on the right picked up a rock and threw it an the thing in the water, but it didn't move. So he though it may be a rock but went back to thinking its an alligator. So he picked up a stick and poked the thing in the water and still no movement so he determined its a rock. So he jumped on top of it.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The bulls kept going back on forth on whether it is an alligator or an log. So the bull on the right picked up a rock and threw it an the thing in the water, but it didn't move. So he though it may be a rock but went back to thinking its an alligator. So he picked up a stick and poked the thing in the water and still no movement so he determined its a rock. So he jumped on top of it."", ""importance"": ""5"", ""time"": 129503, ""tag"": ""prac_segB_desc""}","description"
"13","1002",1701961217093,"8","2","practice","1","2",12,33,"One of the animals throw a rock at it and it doesn't move, so they start touching it with a stick and argue over what it is. They then splash it with water and one of them stands on top of it to try to prove that it's a log.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""One of the animals throw a rock at it and it doesn't move, so they start touching it with a stick and argue over what it is. They then splash it with water and one of them stands on top of it to try to prove that it's a log."", ""importance"": ""7"", ""time"": 70146, ""tag"": ""prac_segB_desc""}","description"
"19","1003",1712152547478,"8","0","practice","1","2",12,33,"Two cows are looking at a shape in the water One is convinced it is a crocodile, the other that it is a log. The one that thinks it's a crocodile tries to provoke the shape by first throwing a stone, then prodding with a stick and finally by standing on it. The shape does not seem to react, so perhaps it is a log after all.",3,3,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two cows are looking at a shape in the water One is convinced it is a crocodile, the other that it is a log. The one that thinks it's a crocodile tries to provoke the shape by first throwing a stone, then prodding with a stick and finally by standing on it. The shape does not seem to react, so perhaps it is a log after all."", ""importance"": ""3"", ""time"": 132599, ""tag"": ""prac_segB_desc""}","description"
"25","1004",1712152513576,"8","0","practice","1","2",12,33,"The cow that thought croc, threw a stone at it and now movement so the other one still said log. Then it threw a stick at it and still no movement, the other still said log. Lastly it threw water on it and as it still didn't move the first cow jumped onto the log/croc",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The cow that thought croc, threw a stone at it and now movement so the other one still said log. Then it threw a stick at it and still no movement, the other still said log. Lastly it threw water on it and as it still didn't move the first cow jumped onto the log/croc"", ""importance"": ""5"", ""time"": 118947, ""tag"": ""prac_segB_desc""}","description"
"31","1005",1712585004868,"8","1","practice","1","2",12,33,"the two bison continued to debate whether the object in the water is a log or a crocodile.\nto prove their point, Bison A (the one who thinks it is a crocodile) threw a rock at the object. it didn't react, Bison B reiterated their belief that it is just a log. Then Bison A poked the object with a stick. Again it didn't react and again, Bison B said it is a log. Finally, Bison A climbed on to the object, which again didn't react.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""the two bison continued to debate whether the object in the water is a log or a crocodile.\nto prove their point, Bison A (the one who thinks it is a crocodile) threw a rock at the object. it didn't react, Bison B reiterated their belief that it is just a log. Then Bison A poked the object with a stick. Again it didn't react and again, Bison B said it is a log. Finally, Bison A climbed on to the object, which again didn't react."", ""importance"": ""6"", ""time"": 141346, ""tag"": ""prac_segB_desc""}","description"
"37","1006",1712769501048,"8","0","practice","1","2",12,33,"The 2 wildebeests are arguing about whether it's an alligator in the water or a log. The one on the left pokes the thing with a stick but it doesn't move, so then the wildebeest splashes some water onto it. Then it jumped on top of the alligator/log.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The 2 wildebeests are arguing about whether it's an alligator in the water or a log. The one on the left pokes the thing with a stick but it doesn't move, so then the wildebeest splashes some water onto it. Then it jumped on top of the alligator/log."", ""importance"": ""7"", ""time"": 103804, ""tag"": ""prac_segB_desc""}","description"
"43","1007",1712584909877,"8","7","practice","1","2",12,33,"The wildebeests keep arguing through speech bubble pictures about whether the object is a log or a crocodile. The one who thinks it is a crocodile throws a small stone at the object and nothing happens so they argue again. The one who thinks it's a crocodile then pokes the object with a stick and still nothing happens so they argue again. He then uses his hoof to splash the object and nothing happens again. After one more round of arguing the one who thinks it's a crocodile jumps onto the object.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 7, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The wildebeests keep arguing through speech bubble pictures about whether the object is a log or a crocodile. The one who thinks it is a crocodile throws a small stone at the object and nothing happens so they argue again. The one who thinks it's a crocodile then pokes the object with a stick and still nothing happens so they argue again. He then uses his hoof to splash the object and nothing happens again. After one more round of arguing the one who thinks it's a crocodile jumps onto the object."", ""importance"": ""7"", ""time"": 201887, ""tag"": ""prac_segB_desc""}","description"
"48","1009",1712769206353,"8","1","practice","1","2",12,33,"one cow tests the log by splashing it then steps over to the log",3,3,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""one cow tests the log by splashing it then steps over to the log"", ""importance"": ""3"", ""time"": 26883, ""tag"": ""prac_segB_desc""}","description"
"54","1010",1712757772328,"8","1","practice","1","2",12,33,"Buffalo think's there is a log in the lake, however the other things it's possibly a alligator instead. They are debating and one uses a twig to poke and find out and then takes a leap of faith onto it! ",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Buffalo think's there is a log in the lake, however the other things it's possibly a alligator instead. They are debating and one uses a twig to poke and find out and then takes a leap of faith onto it! "", ""importance"": ""7"", ""time"": 59976, ""tag"": ""prac_segB_desc""}","description"
