ID,OriginalID,Timestamp,Trial,counterbalance,phase_type,description_stop,paired_vid,onset,offset,description_content,importance,time,tag,vidpath,Datastring,data_set
Drun2M05_277,debug7hVFa:debug5ceH0,1698251960514,12,1,test,1,2,20.0,50,"The rock goes to sleep and dreams about the past times when dinosaurs roamed the earth, and then when the ice age occurred.  He is then woken up by a man throw bits over him and the grass has grown over him.",7,65312,test_seg2_desc,/static/video/B/filmfest_clip8_B_1.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""50"", ""content"": ""The rock goes to sleep and dreams about the past times when dinosaurs roamed the earth, and then when the ice age occurred.  He is then woken up by a man throw bits over him and the grass has grown over him."", ""importance"": ""7"", ""time"": 65312, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_277,debug7hVFa:debug5ceH0,1698252161113,15,1,test,2,4,110.0,140,"The rock is taken by soldiers and made into a smaller piece to be used in war, like a cannon ball.....it eventually is fired through the cannon ball and then hits a tree, breaking the tree.  It then flies through the air and hits the water and then sinks to the bottom.",7,93595,test_seg4_desc,/static/video/B/filmfest_clip8_B_3.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""140"", ""content"": ""The rock is taken by soldiers and made into a smaller piece to be used in war, like a cannon ball.....it eventually is fired through the cannon ball and then hits a tree, breaking the tree.  It then flies through the air and hits the water and then sinks to the bottom."", ""importance"": ""7"", ""time"": 93595, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_277,debug7hVFa:debug5ceH0,1698252343107,18,1,test,3,6,200.0,230,The piece of rock is thrown by a man into his lady's window and hits a man she is consorting with.  It then flies through the air and goes through an open window and onto the road.  It is then driven over by a steam roller and made into a much smaller piece.,7,76572,test_seg6_desc,/static/video/B/filmfest_clip8_B_5.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""230"", ""content"": ""The piece of rock is thrown by a man into his lady's window and hits a man she is consorting with.  It then flies through the air and goes through an open window and onto the road.  It is then driven over by a steam roller and made into a much smaller piece."", ""importance"": ""7"", ""time"": 76572, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_277,debug7hVFa:debug5ceH0,1698252545008,21,1,test,4,8,290.0,320,"The rock then is flown into space and fired.  It hits another planet, which hits more stones/rock and sinks back into the landscape to begin its journey once more, and this goes strait back to the start of the movie in the beginning.  A full circle of it's life.",7,95381,test_seg8_desc,/static/video/B/filmfest_clip8_B_7.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip8_B_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""320"", ""content"": ""The rock then is flown into space and fired.  It hits another planet, which hits more stones/rock and sinks back into the landscape to begin its journey once more, and this goes strait back to the start of the movie in the beginning.  A full circle of it's life."", ""importance"": ""7"", ""time"": 95381, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_1609,debughTTiN:debugBgtpb,1698252605760,12,2,test,1,2,30.0,60,"The rock has missed out on the earth's most significant evolution. While the rock was asleep, the earth went through massive changes; there were dinosaurs, the ice age, climate change, ice age and the evolution of humans. The rock missed out so much in its sleep that it didn't even recognise the place it was in. It was confused because it was a whole new world for it.",7,369386,test_seg2_desc,/static/video/C/filmfest_clip8_C_1.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""60"", ""content"": ""The rock has missed out on the earth's most significant evolution. While the rock was asleep, the earth went through massive changes; there were dinosaurs, the ice age, climate change, ice age and the evolution of humans. The rock missed out so much in its sleep that it didn't even recognise the place it was in. It was confused because it was a whole new world for it."", ""importance"": ""7"", ""time"": 369386, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_1609,debughTTiN:debugBgtpb,1698253019518,15,2,test,2,4,120.0,150,"The huge rock went through a lot. I was used for the first industrial revolution. After that, it became a prop in the First World War. Mind you, it was getting smaller each time. It got bowled into the sea, where it weathered and became a little tin stone that you find at the shoreline. While all the rock wanted was to sleep and rest, instead it became tiny and sad.",7,306452,test_seg4_desc,/static/video/C/filmfest_clip8_C_3.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""150"", ""content"": ""The huge rock went through a lot. I was used for the first industrial revolution. After that, it became a prop in the First World War. Mind you, it was getting smaller each time. It got bowled into the sea, where it weathered and became a little tin stone that you find at the shoreline. While all the rock wanted was to sleep and rest, instead it became tiny and sad."", ""importance"": ""7"", ""time"": 306452, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_1609,debughTTiN:debugBgtpb,1698253391972,18,2,test,3,6,210.0,240,"After the rock left the museum, it was thrown out into the trash. It was also used by a better bitter to hit the window of his lover sitting with her love. Then the little rock continued to travel. Eventually, I made it to the road and was smashed by cars and trucks. In the end, the rock was smashed so much it became pieces then became dust and was thrown into the beach.",7,266675,test_seg6_desc,/static/video/C/filmfest_clip8_C_5.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""240"", ""content"": ""After the rock left the museum, it was thrown out into the trash. It was also used by a better bitter to hit the window of his lover sitting with her love. Then the little rock continued to travel. Eventually, I made it to the road and was smashed by cars and trucks. In the end, the rock was smashed so much it became pieces then became dust and was thrown into the beach."", ""importance"": ""7"", ""time"": 266675, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_1609,debughTTiN:debugBgtpb,1698253695756,21,2,test,4,8,300.0,330,"After being launched into space, the rock crashed into a planet that had nothing. The little rock underwent all the changes of the planet and guess what? It went back to being the big rock as it was before because a whole new planet was created. The rock now could finally rest.",7,193754,test_seg8_desc,/static/video/C/filmfest_clip8_C_7.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip8_C_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""330"", ""content"": ""After being launched into space, the rock crashed into a planet that had nothing. The little rock underwent all the changes of the planet and guess what? It went back to being the big rock as it was before because a whole new planet was created. The rock now could finally rest."", ""importance"": ""7"", ""time"": 193754, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M05_135,debug3lUzc:debugWqcih,1698332013797,12,8,test,1,2,90.0,120,"The mill where the rock was a millstone was overrun by soldiers who took the rock, smashed into smaller pieces, one of which became a cannonball being fired from a riverboat.  Looks like we're now in the american civil war",3,114141,test_seg2_desc,/static/video/I/filmfest_clip8_I_1.mp4,"{""phase"": ""description"", ""counterbalance"": 8, ""vidpath"": ""/static/video/I/filmfest_clip8_I_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""120"", ""content"": ""The mill where the rock was a millstone was overrun by soldiers who took the rock, smashed into smaller pieces, one of which became a cannonball being fired from a riverboat.  Looks like we're now in the american civil war"", ""importance"": ""3"", ""time"": 114141, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_135,debug3lUzc:debugWqcih,1698332271100,15,8,test,2,4,180.0,210,"The rock was in a museum; someone jolted the display case, the rock rolled away into a trash bin.  When that was emptied the rock rolled into the street where someone picked it up, threw it at a window.  The rock knocked over a person inside and flew through a window on the opposite side where we see a queue of depression era people.  The soundtrack is now jazzy.",3,147856,test_seg4_desc,/static/video/I/filmfest_clip8_I_3.mp4,"{""phase"": ""description"", ""counterbalance"": 8, ""vidpath"": ""/static/video/I/filmfest_clip8_I_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""210"", ""content"": ""The rock was in a museum; someone jolted the display case, the rock rolled away into a trash bin.  When that was emptied the rock rolled into the street where someone picked it up, threw it at a window.  The rock knocked over a person inside and flew through a window on the opposite side where we see a queue of depression era people.  The soundtrack is now jazzy."", ""importance"": ""3"", ""time"": 147856, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_135,debug3lUzc:debugWqcih,1698332465340,18,8,test,3,6,270.0,300,It's now getting even more fantastical. We saw the rock transformed into glass.  This forms part of a spacecraft; we see that being launched and then the part containing the rock hits some asteroids  and is damaged ,3,88924,test_seg6_desc,/static/video/I/filmfest_clip8_I_5.mp4,"{""phase"": ""description"", ""counterbalance"": 8, ""vidpath"": ""/static/video/I/filmfest_clip8_I_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""300"", ""content"": ""It's now getting even more fantastical. We saw the rock transformed into glass.  This forms part of a spacecraft; we see that being launched and then the part containing the rock hits some asteroids  and is damaged "", ""importance"": ""3"", ""time"": 88924, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M05_1656,debugig2RH:debugPPzYY,1698256479671,12,4,test,1,2,50.0,80,The tip of a once great mountain is disturbed by men chopping and processing wood. This creature stands up and walks into the forest and finds a soft place to continue its rest. As it is falling asleep someone is putting a rope around its nose,6,110537,test_seg2_desc,/static/video/E/filmfest_clip8_E_1.mp4,"{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/E/filmfest_clip8_E_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""80"", ""content"": ""The tip of a once great mountain is disturbed by men chopping and processing wood. This creature stands up and walks into the forest and finds a soft place to continue its rest. As it is falling asleep someone is putting a rope around its nose"", ""importance"": ""6"", ""time"": 110537, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M05_1656,debugig2RH:debugPPzYY,1698256841186,15,4,test,2,4,140.0,170,"the stone piece which was used as a cannon ball in the American Civil War [which I doubt - just google it] is washed ashore, it is small, sad and wants to rest. However, it is found by a scientist and he is excited because the rock has some fossil imprint in it ",6,181995,test_seg4_desc,/static/video/E/filmfest_clip8_E_3.mp4,"{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/E/filmfest_clip8_E_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""170"", ""content"": ""the stone piece which was used as a cannon ball in the American Civil War [which I doubt - just google it] is washed ashore, it is small, sad and wants to rest. However, it is found by a scientist and he is excited because the rock has some fossil imprint in it "", ""importance"": ""6"", ""time"": 181995, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M05_1656,debugig2RH:debugPPzYY,1698257052633,18,4,test,3,6,230.0,260,the little piece of rock is swept by a street sweeper into the sea. The little rock piece thinks it is finally time for rest. Not really. Some soil extraction work is taking place and little rock person is going straight to furnace.  ,6,102382,test_seg6_desc,/static/video/E/filmfest_clip8_E_5.mp4,"{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/E/filmfest_clip8_E_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""260"", ""content"": ""the little piece of rock is swept by a street sweeper into the sea. The little rock piece thinks it is finally time for rest. Not really. Some soil extraction work is taking place and little rock person is going straight to furnace.  "", ""importance"": ""6"", ""time"": 102382, ""tag"": ""test_seg6_desc""}",2023-2024 Run
