"","ID","Timestamp","Trial","counterbalance","phase","description_stop","paired_vid","onset","offset","description_content","importance","time","tag","vidpath","Datastring","test_trial"
"1","1001",1701964208724,"8","8","practice","1","2",12,33,"The two water buffalo are trying to determine what the object in the water is. One insists its a crocodile while the other one, who appears to be less intelligent, thinks its a log. The one who thinks its a crocodile tries different things to prove which one is right, like poking it with a stick before finally climbing on top of the floating object.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 8, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two water buffalo are trying to determine what the object in the water is. One insists its a crocodile while the other one, who appears to be less intelligent, thinks its a log. The one who thinks its a crocodile tries different things to prove which one is right, like poking it with a stick before finally climbing on top of the floating object."", ""importance"": ""5"", ""time"": 104720, ""tag"": ""prac_segB_desc""}","description"
"5","1002",1701961485774,"8","3","practice","1","2",12,33,"There are two animals at the side of a lake or river. Not sure what the animals are, but they have horns and look a bit like fat zebra's but with horns.\nIn the lake there is something floating near the edge. The two animals each think it's something different, one thinks it's a log, whilst the other thinks it's a crocodile. The one that thinks it's a croc throws a stone, splashes it with water and eventually jumps onto it.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""There are two animals at the side of a lake or river. Not sure what the animals are, but they have horns and look a bit like fat zebra's but with horns.\nIn the lake there is something floating near the edge. The two animals each think it's something different, one thinks it's a log, whilst the other thinks it's a crocodile. The one that thinks it's a croc throws a stone, splashes it with water and eventually jumps onto it."", ""importance"": ""5"", ""time"": 133413, ""tag"": ""prac_segB_desc""}","description"
"10","1003",1701964523661,"12","8","practice","1","2",12,33,"There's a cartoon of some wildebeests or a kind of safari cow like animals. they're near a lake or river shore and they see something in the water. one of the mammals thinks the object in the water is a crocodile, another mammal just keeps saying it seems like a log. the skeptical mammal eventually hops on the thing in the water and it appears to be a log after all.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 8, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""There's a cartoon of some wildebeests or a kind of safari cow like animals. they're near a lake or river shore and they see something in the water. one of the mammals thinks the object in the water is a crocodile, another mammal just keeps saying it seems like a log. the skeptical mammal eventually hops on the thing in the water and it appears to be a log after all."", ""importance"": ""5"", ""time"": 165008, ""tag"": ""prac_segB_desc""}","description"
"14","1004",1698251403340,"8","4","practice","1","2",12,33,"The two animals are in disagreement about what is floating in the river. One thinks it is a safe log whilst the other thinks it's a dangerous aligator. To prove its point it throws a stone and then jumps on it to prove it's not a log.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two animals are in disagreement about what is floating in the river. One thinks it is a safe log whilst the other thinks it's a dangerous aligator. To prove its point it throws a stone and then jumps on it to prove it's not a log."", ""importance"": ""5"", ""time"": 52960, ""tag"": ""prac_segB_desc""}","description"
"19","1005",1712071473220,"8","5","practice","1","2",12,33,"As you know the two bulls had different perception of what the image in the river was, the one that thought it is a crocodile tried to prove it to his friend by throwing a stone first, then tried making waves in the river, after which the object did not move, he then jumped on the object to prove his point to his friend who strongly believed it is a log of wood.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""As you know the two bulls had different perception of what the image in the river was, the one that thought it is a crocodile tried to prove it to his friend by throwing a stone first, then tried making waves in the river, after which the object did not move, he then jumped on the object to prove his point to his friend who strongly believed it is a log of wood."", ""importance"": ""5"", ""time"": 211494, ""tag"": ""prac_segB_desc""}","description"
"24","1006",1711991892883,"8","3","practice","1","2",12,33,"There were two animals standing near a lake. There was something floating in the water in front of them, and they both were wondering if it was a crocodile or a log. The one on the left then started throwing a stone at the thing floating in the lake, and he eventually climbed on top of the crocodile/log thing. They hadn't figured out yet what it could be. ",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""There were two animals standing near a lake. There was something floating in the water in front of them, and they both were wondering if it was a crocodile or a log. The one on the left then started throwing a stone at the thing floating in the lake, and he eventually climbed on top of the crocodile/log thing. They hadn't figured out yet what it could be. "", ""importance"": ""6"", ""time"": 205189, ""tag"": ""prac_segB_desc""}","description"
"29","1007",1712587098658,"8","1","practice","1","2",12,33,"The two characters are arguing whether the object in the water is a crocodile or or log of wood. The character that thinks it is a crocodile was convinced it was a log of wood by the second character and climbed on it to confirm.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two characters are arguing whether the object in the water is a crocodile or or log of wood. The character that thinks it is a crocodile was convinced it was a log of wood by the second character and climbed on it to confirm."", ""importance"": ""7"", ""time"": 97754, ""tag"": ""prac_segB_desc""}","description"
"34","1008",1698331720727,"8","6","practice","1","2",12,33,"The two wildebeest are debating whether the object in the water is a log or a crocodile. The one on the left throws a rock at the object, which remains unmoved. The two continue to disagree. The one on the left then pokes it with a stick, they argue again. The one on the left then jumps on the object, which remains unmoved. ",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 6, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two wildebeest are debating whether the object in the water is a log or a crocodile. The one on the left throws a rock at the object, which remains unmoved. The two continue to disagree. The one on the left then pokes it with a stick, they argue again. The one on the left then jumps on the object, which remains unmoved. "", ""importance"": ""5"", ""time"": 128908, ""tag"": ""prac_segB_desc""}","description"
"39","1009",1701964142059,"8","6","practice","1","2",12,33,"Two water buffalo's were at the water bed drinking water. they notice a suspicious looking log in the water. they were discussing whether it was a wooden log or a crocodile. they chuck a rock at it and nothing happens and then one of them jumps on it and nothing still happens. ",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 6, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two water buffalo's were at the water bed drinking water. they notice a suspicious looking log in the water. they were discussing whether it was a wooden log or a crocodile. they chuck a rock at it and nothing happens and then one of them jumps on it and nothing still happens. "", ""importance"": ""5"", ""time"": 69676, ""tag"": ""prac_segB_desc""}","description"
"44","1011",1698331684772,"8","8","practice","1","2",12,33,"The two bulls are wondering whether something in the water is a crocodile or a log. One of the bulls think it is a crocodile, whilst the other thinks it is a log. The crocodile who thinks it is a log throws a stone at the object, and makes a splash. It then prods the object with a stick. Finally, it steps from the land onto the object.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 8, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two bulls are wondering whether something in the water is a crocodile or a log. One of the bulls think it is a crocodile, whilst the other thinks it is a log. The crocodile who thinks it is a log throws a stone at the object, and makes a splash. It then prods the object with a stick. Finally, it steps from the land onto the object."", ""importance"": ""6"", ""time"": 141505, ""tag"": ""prac_segB_desc""}","description"
