"","ID","Timestamp","Trial","counterbalance","phase","description_stop","paired_vid","onset","offset","description_content","importance","time","tag","vidpath","Datastring","test_trial"
"1","1000",1712770016427,"8","0","practice","1","2",12,33,"Two cows are arguing whether its a stick or a crocodile in the water.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two cows are arguing whether its a stick or a crocodile in the water."", ""importance"": ""6"", ""time"": 58307, ""tag"": ""prac_segB_desc""}","description"
"8","1001",1713191736222,"8","0","practice","1","2",12,33,"two buffalos were deciding wether what was floating in the water was a log or a crocodile. one of them then stepped on it.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""two buffalos were deciding wether what was floating in the water was a log or a crocodile. one of them then stepped on it."", ""importance"": ""6"", ""time"": 139833, ""tag"": ""prac_segB_desc""}","description"
"15","1002",1713886683758,"8","7","practice","1","2",12,33,"Two water buffalo are standing next to a body of water and there is an object that is floating in the water near the shoreline.  The water buffalo have a conversation about the object, one water buffalo thinks its a crocodile while the other water buffalo thinks its a log.  One water buffalo starts throwing rocks and splashing water on the object to get it to react but nothing happens.  Finally the water buffalo jumps on top of the object.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 7, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two water buffalo are standing next to a body of water and there is an object that is floating in the water near the shoreline.  The water buffalo have a conversation about the object, one water buffalo thinks its a crocodile while the other water buffalo thinks its a log.  One water buffalo starts throwing rocks and splashing water on the object to get it to react but nothing happens.  Finally the water buffalo jumps on top of the object."", ""importance"": ""6"", ""time"": 145271, ""tag"": ""prac_segB_desc""}","description"
"21","1003",1713287766427,"8","2","practice","1","2",12,33,"The two bison keep going back and forth with the one on the left saying it is an alligator, while the one on the right says log. The bison that thought it was an alligator, decided to throw a rock at the \log\, splash water at it, and also poke it with a stick. Nothing happened so it jumped on top of the \log\. ",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two bison keep going back and forth with the one on the left saying it is an alligator, while the one on the right says log. The bison that thought it was an alligator, decided to throw a rock at the \""log\"", splash water at it, and also poke it with a stick. Nothing happened so it jumped on top of the \""log\"". "", ""importance"": ""7"", ""time"": 93018, ""tag"": ""prac_segB_desc""}","description"
"27","1004",1712769904332,"8","7","practice","1","2",12,33,"The cow that thought the object was a crocodile first threw a stone at the object, but the object didn't respond. The other cow still thinks it is a log. The first cow then jumps on to the object, but the object still does not respond.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 7, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The cow that thought the object was a crocodile first threw a stone at the object, but the object didn't respond. The other cow still thinks it is a log. The first cow then jumps on to the object, but the object still does not respond."", ""importance"": ""6"", ""time"": 167427, ""tag"": ""prac_segB_desc""}","description"
"33","1005",1713192887672,"8","4","practice","1","2",12,33,"The cow who thinks the thing in the water is a crocodile throws a rock at it.  The object doesn't move so the other cow says it's a log.  The first cow insists it's a crocodile and pokes it with a stick.  it still doesn't move so the second cow reiterates that it's a log. The first cow then jumps onto the object.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The cow who thinks the thing in the water is a crocodile throws a rock at it.  The object doesn't move so the other cow says it's a log.  The first cow insists it's a crocodile and pokes it with a stick.  it still doesn't move so the second cow reiterates that it's a log. The first cow then jumps onto the object."", ""importance"": ""5"", ""time"": 107407, ""tag"": ""prac_segB_desc""}","description"
"39","1006",1714489814383,"8","5","practice","1","2",12,33,"One of the two bull cows on the edge of the water pokes the hump in the water with a stick, but it doesn't move. The bubble over the other cow's head shows that he thinks it's still a chunk of wood. The first bull cow then splashes water on it. Again, it doesn't move and then it jumps up on the hump and stands there staring down at it.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""One of the two bull cows on the edge of the water pokes the hump in the water with a stick, but it doesn't move. The bubble over the other cow's head shows that he thinks it's still a chunk of wood. The first bull cow then splashes water on it. Again, it doesn't move and then it jumps up on the hump and stands there staring down at it."", ""importance"": ""6"", ""time"": 212973, ""tag"": ""prac_segB_desc""}","description"
"45","1007",1713190152550,"8","5","practice","1","2",12,33,"the two moose are still trying to figure out if the 'thing' in the water is a crocodile or a log.  The moose on the left throws a stone at it and nothing happens.  He then picks up a stick and starts poking it with it.  There is no movement so they are both starting to think it could be a log.  One of them then jumps on top of the 'thing'",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""the two moose are still trying to figure out if the 'thing' in the water is a crocodile or a log.  The moose on the left throws a stone at it and nothing happens.  He then picks up a stick and starts poking it with it.  There is no movement so they are both starting to think it could be a log.  One of them then jumps on top of the 'thing'"", ""importance"": ""6"", ""time"": 124927, ""tag"": ""prac_segB_desc""}","description"
"51","1008",1713190096345,"8","2","practice","1","2",12,33,"The two bison on the bank of the river. One thinks the thing in the water is a log and the other thinks it is a crocodile. One bison throws a stone at it then pokes it with a stick to see which one it is. Nothing happens to the object in the water suggesting that it is a log. ",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two bison on the bank of the river. One thinks the thing in the water is a log and the other thinks it is a crocodile. One bison throws a stone at it then pokes it with a stick to see which one it is. Nothing happens to the object in the water suggesting that it is a log. "", ""importance"": ""5"", ""time"": 86527, ""tag"": ""prac_segB_desc""}","description"
"57","1009",1713190270328,"8","2","practice","1","2",12,33,"The moose in the back still thinks it's a crocodile and the moose in the front still thinks that it's a log. So to prove it, the moose in the back begins to poke, splash, and throw a rock at the object in the water. After it still does not move the moose in the back then jumps on top of it.",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The moose in the back still thinks it's a crocodile and the moose in the front still thinks that it's a log. So to prove it, the moose in the back begins to poke, splash, and throw a rock at the object in the water. After it still does not move the moose in the back then jumps on top of it."", ""importance"": ""6"", ""time"": 59590, ""tag"": ""prac_segB_desc""}","description"
