"","ID","Timestamp","Trial","counterbalance","phase","description_stop","paired_vid","onset","offset","description_content","importance","time","tag","vidpath","Datastring","test_trial"
"1","1000",1701964206594,"8","1","practice","1","2",12,33,"There were two wildebeest by water. Something was partially visible in the water. One wildebeest thought it was a crocodile and one thought it was a log. The former poked and prodded the 'thing' to see if it would move. Eventually, it hopped onto it. ",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""There were two wildebeest by water. Something was partially visible in the water. One wildebeest thought it was a crocodile and one thought it was a log. The former poked and prodded the 'thing' to see if it would move. Eventually, it hopped onto it. "", ""importance"": ""5"", ""time"": 63404, ""tag"": ""prac_segB_desc""}","description"
"10","1001",1701962546868,"8","2","practice","1","2",12,33,"Two animated bulls are standing by a river with a log in the middle. Thought bubbles come up for one with a log in it and a thought bubble comes up with a crocodile in it. Then one of the bulls steps on the log in the middle of the river.",3,3,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two animated bulls are standing by a river with a log in the middle. Thought bubbles come up for one with a log in it and a thought bubble comes up with a crocodile in it. Then one of the bulls steps on the log in the middle of the river."", ""importance"": ""3"", ""time"": 70974, ""tag"": ""prac_segB_desc""}","description"
"19","1002",1701961432260,"8","5","practice","1","2",12,33,"Two reindeer are on the side of a lake or river. They both see an object in the water. One believes it is a log and the other thinks it a crocodile. The latter prods the object. It does not appear to be alive, but it still could potentially be a crocodile.",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two reindeer are on the side of a lake or river. They both see an object in the water. One believes it is a log and the other thinks it a crocodile. The latter prods the object. It does not appear to be alive, but it still could potentially be a crocodile."", ""importance"": ""5"", ""time"": 94604, ""tag"": ""prac_segB_desc""}","description"
"27","1003",1701961499497,"8","4","practice","1","2",12,33,"Two cattle specimens were debating whether an object in the water besides them was an alligator or a log. One kept challenging the other's assumption it was in fact an alligator. The one who contended it was an alligator touched it with a stick. Also, it splashed it with water. Finally, it jumped up onto it.",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 4, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Two cattle specimens were debating whether an object in the water besides them was an alligator or a log. One kept challenging the other's assumption it was in fact an alligator. The one who contended it was an alligator touched it with a stick. Also, it splashed it with water. Finally, it jumped up onto it."", ""importance"": ""7"", ""time"": 146136, ""tag"": ""prac_segB_desc""}","description"
"35","1004",1713886933732,"8","1","practice","1","2",12,33,"They keep arguing and the cow who thinks it is a crocodile throws a stone at it and prods it. It then jumps on the object, where it is now still standing. ",7,7,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""They keep arguing and the cow who thinks it is a crocodile throws a stone at it and prods it. It then jumps on the object, where it is now still standing. "", ""importance"": ""7"", ""time"": 49582, ""tag"": ""prac_segB_desc""}","description"
"44","1005",1701964181050,"8","1","practice","1","2",12,33,"Bulls kept arguing wheter the floating thing is a piece of wood or an alligator. The first bull tried to show its the latter. He first threw a stone at it and then poked it with a stick. After that, he jumped on top of it",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""Bulls kept arguing wheter the floating thing is a piece of wood or an alligator. The first bull tried to show its the latter. He first threw a stone at it and then poked it with a stick. After that, he jumped on top of it"", ""importance"": ""5"", ""time"": 76711, ""tag"": ""prac_segB_desc""}","description"
"53","1006",1712588187379,"8","0","practice","1","2",12,33,"The two buffalo were arguing over whether the floating object is a log or a crocodile in the water. The buffalo on the left throws a stone at the log to see if it responds and is therefore a crocodile and then just after the other one prods it with a stick. In each case there is no response. So the buffalo to the left decides to go and stand on it to prove that it is just a log. ",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two buffalo were arguing over whether the floating object is a log or a crocodile in the water. The buffalo on the left throws a stone at the log to see if it responds and is therefore a crocodile and then just after the other one prods it with a stick. In each case there is no response. So the buffalo to the left decides to go and stand on it to prove that it is just a log. "", ""importance"": ""6"", ""time"": 186995, ""tag"": ""prac_segB_desc""}","description"
"62","1007",1701964125250,"8","3","practice","1","2",12,33,"two buffalo are standing at the side of the lake. One thinks the creature in the water is a crocodile and the other thinks its a log. One prods it with a stick and splashes water on it. ",5,5,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""two buffalo are standing at the side of the lake. One thinks the creature in the water is a crocodile and the other thinks its a log. One prods it with a stick and splashes water on it. "", ""importance"": ""5"", ""time"": 37385, ""tag"": ""prac_segB_desc""}","description"
"70","1008",1714661549264,"8","3","practice","1","2",12,33,"The cow were arguing if it was either a crocodile or wood. Then one cow jump on the thing. Turns out its seems to be wood",3,3,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 3, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The cow were arguing if it was either a crocodile or wood. Then one cow jump on the thing. Turns out its seems to be wood"", ""importance"": ""3"", ""time"": 35990, ""tag"": ""prac_segB_desc""}","description"
"78","1009",1701964532862,"8","0","practice","1","2",12,33,"The two bison at the water's edge are still debating what they think is in the water. They communicate in grunts and their thoughts are represented by speech bubbles with images. The bison that believes it's a crocodile throws a stone at it and continues to assert it is a crocodile. The other bison disagrees and asserts it is a log. The first bison then pokes at the log with a stick and continues to assert it is a crocodile before splashing it with water, tapping at it, and then jumping on top of the thing in the water.                       ",6,6,"prac_segB_desc","/static/video/Prac/wildebeest_part2.mp4","{""phase"": ""description"", ""counterbalance"": 0, ""vidpath"": ""/static/video/Prac/wildebeest_part2.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""33"", ""content"": ""The two bison at the water's edge are still debating what they think is in the water. They communicate in grunts and their thoughts are represented by speech bubbles with images. The bison that believes it's a crocodile throws a stone at it and continues to assert it is a crocodile. The other bison disagrees and asserts it is a log. The first bison then pokes at the log with a stick and continues to assert it is a crocodile before splashing it with water, tapping at it, and then jumping on top of the thing in the water.                       "", ""importance"": ""6"", ""time"": 234141, ""tag"": ""prac_segB_desc""}","description"
